Description (Customer #),P/N,Quantity,,
0.1uF,MLASH168SB7104KTNA01,10,,
1uF,MLASU168SB5105KTNA01,8,,
4.7uF,08055D475KAT4A,5,,
7.5uF,C1608X5R1E685K080AC,1,,
10uF,GRM21BR61H106KE43K,13,,
1nF,MLASU063SB7102KFNA01,1,,
3.3nF,06035C332K4T2A,1,,
10nF,CL10B103KB8NNNC,1,,
100nF,CL10B104KA8NNNC,12,,
12p,06035U120FAT2A,2,,
Schottky,1N5819HW-7-F,1,,
51,0603WAJ0510T5E,1,,
120,CRCW0603120RFKEC ,8,,
332,CRCW0603332RFKEAHP ,1,,
590,CRCW0603590RFKEA,1,,
768,CRCW0603768RFKEA,1,,
1k,CRCW06031K00FKEI ,1,,
2.1k,CRCW06032K10FKEA ,1,,
3.3k,0603WAJ0332T5E,1,,
4.3k,CRCW06034K30FKEA,3,,
5.1k,CRCW06035K10FKEC ,2,,
8.2k,0603WAJ0822T5E,1,,
10k,CRCW060310K0FKEI ,7,,
16k,CRCW060316K0FKTA ,1,,
19k,CRCW060319K1FKEA,1,,
22k,CRCW060322K0FKEAHP,1,,
34k,0603WAF3402T5E,1,,
45.3k,CRCW060345K3FKEAHP ,1,,
47k,CRCW060347K0FKECC,1,,
100k,CRCW0603100KFKEE,0,,
402k,CRCW0603402KFKEAC ,1,,
Blue LED,XL-1608UBC-06A,8,,
Red LED,NCD0603R1,2,,
8MHz Crystal,ABM3-8.000MHZ-D2Y-T,1,,
AMC1350DWVR,AMC1350DWVR,1,,
CAN Protection,CDSOT23-T24CAN,1,,
USB to UART,CP2102N-A02-GQFN24R,1,,
FerriteBead,BLM18PG121SH1D,2,,
LM76202QPWPRQ1,LM76202QPWPRQ1,1,,
3.3V LDO,LT1963AEST-3.3#TRPBF,2,,
Schottky Diode,MBR230S1F-7,1,,
1.25V Voltage Reference,REF35125QDBVR,1,,
Reset Switch,TL3365AF180QG,1,,
OR Gate,SN74AHC1G32DBVR,1,,
USB Protection,SP0503BAHTG,1,,
STM32L431CBT6,STM32L431CBT6,1,,
DPDT Switch,CAS-220TB,1,,
CAN Transceiver,TCAN337GDCNR,1,,
Op-Amp Dual Package,TLV9002QDRQ1,1,,
TPS2115ADRBR,TPS2115ADRBR,1,,
TPS5405DR,TPS5405DR,1,,
TVS 24V,SD24C-01FTG,1,,
TVS 3.3V,SMF3.3,4,,
USB-C Receptacle Vertical,USB4120-03-C,1,,
Pin Header 1x2,,2,,
Molex Nanofit 1x4 Vertical,105309-1204 ,3,,
Molex Nanofit 1x2 Vertical,105309-1202,1,,
INA241A4IDR,INA241A4IDR,1,,
BOOT Switch,CJS-1200TA,1,,
5005 Testpoint,534-5005,4,,
24-5 DC DC Converter,1769205341,1,,
Inductor 100uH,MSS1246-104MLC,1,,
Shunt Resistor 250uOhm,WSBS8518L2500JTP3,1,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
